模組,項目,分類,說明,頁面欄位
參加者,個人資料,頁面,供參加者檢視並編輯修改其個人聯絡資訊或客製化資料。,"- 姓名
- 員工編號
- 部門
- Email
- 手機號碼
- 其他客製化表單欄位
- 儲存按鈕"
參加者,參加者購買商品,頁面,"參加者掃描攤商 QR Code 後進入之頁面。可勾選、增減欲購買的商品數量，確認計算支付點數並執行結帳扣款之操作。","- 攤商商店名稱
- 勾選商品項目與數量選擇器
- 商品單價點數
- 購物車結算明細
- 總支付點數計算
- 剩餘可用點數顯示
- 確認支付點數按鈕"
參加者,參加者支付成功提示,系統,當參加者成功完成點數支付後，畫面上方跳出 Toastr 即時提示成功訊息與扣除點數。,
參加者,QR Code,系統,參加者系統生成的專屬 QR Code，通用於活動報到驗證、關卡通關掃描、領取抽獎獎品等場景。,
抽獎,獎項管理,後台,包含由獎項模板匯入或獨立建立獎項。具備系統自動化線上抽獎及傳統手動抽獎控管。提供新增、編輯、刪除單一獎項，設定進階規則，以及操作線上抽獎、指定得獎者與重置結果之動線。,"- 獎項順序/等級
- 獎項名稱
- 獎項圖片
- 獎品內容
- 名額數量
- 進階規則條件 (可重複/年資限定/全體等)
- 該獎項當前已抽出名額數量"
抽獎,得獎者,後台,為個別獎項檢視或配置最終得獎人。支援後台開啟鏡頭掃碼帶入參加者身分，並直接指派其為得獎者之操作，另提供匯出得獎清單動線。,"- 得獎者姓名
- 得獎者員工編號/部門
- 所得獎項名稱
- 得獎時間
- 掃碼輸入框/鏡頭掃碼元件
- 得獎狀態 (已領取/未領取)"
攤商,攤商首頁,頁面,提供攤商查看個人營收概況與營業額統計，並可檢索過去的點數收款歷史紀錄明細。,"- 攤商名稱/負責人
- 當日營業額統計 (點數)
- 累計總營業額統計 (點數)
- 收款歷史明細列表 (時間、訂單編號、實收點數、買方資訊)"
攤商,個人資料,頁面,供攤商編輯修改其基本資料、聯絡資訊及登入密碼。,"- 攤商名稱
- 負責人姓名
- 聯絡電話
- 新密碼輸入框
- 確認新密碼輸入框
- 儲存按鈕"
攤商,QR Code,頁面,展示攤商專屬的收款 QR Code 以供參加者掃描消費，同時可預覽呈現在參加者端的商店商品資訊。,"- 攤商收款專門 QR Code 圖片
- 商店名稱
- 販售商品預覽清單 (商品名稱、點數標價)"
攤商,收款提示,系統,當對接的參加者完成支付點數時，攤商系統介面上方跳出 Toastr 即時提示收款成功入帳之金額與時間。,
攤商,管理商品,頁面,讓攤商可自行上架及管理所販售的各項商品與對應點數。提供新增、編輯、刪除商品與設定付費點數之操作動線。,"- 商品名稱
- 商品簡介
- 商品圖片
- 支付點數定價
- 狀態切換 (上架/下架)"
關卡,關主首頁,頁面,提供關主檢視所負責關卡的數據資訊，以及提供啟動鏡頭進行通關掃碼功能的核心動線入口。,"- 關主姓名
- 負責關卡名稱
- 累積通關人數數值
- 掃描鏡頭啟用按鈕"
關卡,個人資料,頁面,供關主編輯修改個人聯絡資料與登入密碼設定。,"- 關主姓名
- 聯絡電話
- 新密碼輸入框
- 確認新密碼輸入框
- 儲存按鈕"
關卡,通關掃碼,系統,關主利用系統鏡頭對著參加者 QR Code 掃碼，掃描後觸發 Modal 視窗進行二次確認放行後，記錄該名參加者通過此關。,
管理者,設定管理者,後台,管理主系統的超級管理者及特定權限「副管理者」。使用群組資料夾配置限制檢視操作特定活動。提供新增、編輯、刪除管理員，劃分全域或局部權限，以及調整帳號停權狀態之操作動線。,"- 管理者姓名
- 登入帳號
- 登入密碼
- 權限角色 (超級管理者/副管理者)
- 指派管理之活動清單/資料夾群組
- 帳號狀態 (啟用/停權)"
註冊登入,參加者註冊,頁面,參加者自行填寫報名表單進行註冊。包含基本驗證防護機制，僅允許特定條件(如員工號碼、特定 Email)通過驗證後進入註冊。,"- 員工編號/企業專用 Email
- 設定密碼
- 確認密碼
- 姓名
- 手機號碼
- 部門 (選填)
- 註冊送出按鈕"
註冊登入,參加者註冊成功,頁面,註冊成功與啟用等待之提示頁面，告知後續流程。,"- 成功提示訊息文案
- 返回登入頁連結"
註冊登入,登入,頁面,參加者、關主與攤商統一從此頁面登入，由系統判斷權限導向對應首頁。提供忘記密碼等相關流程動線(主系統管理者與副管理者從專屬後台入口登入)。,"- 登入帳號 (Email/員工編號等)
- 登入密碼
- 記住我選項 (Checkbox)
- 登入按鈕
- 忘記密碼連結"
註冊登入,忘記密碼,頁面,供忘記密碼的使用者輸入信箱，以觸發系統發送重設密碼之連結信件流程。,"- 註冊之 Email 帳號
- 送出驗證信按鈕"
註冊登入,重設密碼,頁面,使用者點擊信件內連結後進入之跳轉頁面，供其設定新的登入密碼並儲存更新。,"- 新密碼輸入框
- 確認新密碼輸入框
- 儲存修改按鈕"
註冊登入,登入註冊模組,系統,判斷登入身份為參加者、關主或攤商，並執行對應權限驗證與模組頁面導向。,
註冊登入,忘記密碼動線,系統,Email 驗證、發送包含特殊 Token 之信件及驗證重設密碼之工作流程。,
通知提醒,Gmail,系統,整合寄送各項通知信件模組 (如註冊帳號啟用信、密碼重設信，及可能的活動與抽獎結果通知信)。,
文件繪製,Excel 格式,系統,規劃京采後台各項資料所需之標準 Excel 檔案格式。提供匯入參加者模版，以及各種報表(網址總表、QR Code 清單、參加者總表、活動結果統計、攤商結帳明細)之產出格式。,"- 匯入欄位 (依據表單欄位動態產生)
- 匯出專用欄位 (各項時間戳記、統計數據、流水號等)"
靜態頁面,關於我們,頁面,京采活動工程平台簡介、系統服務說明等圖文內容頁面。,"- 標題
- 內文圖文排版內容"
靜態頁面,隱私權政策,頁面,規範平台之隱私政策與個資聲明公告內容。,"- 標題
- 政策條款內文"
靜態頁面,服務條款,頁面,規範平台使用條款與免責聲明公告內容。,"- 標題
- 條款內文"
