模組,項目,分類,說明
金物流,綠界物流,系統,"串接綠界物流功能。
- 宅配。"
金物流,綠界電子發票,系統,"串接綠界電子發票功能。
- 二聯式。
- 三聯式。"
運費,運費管理,後台,"編輯管理產品的運費。
- 運費級距。
- 免運費門檻。"
通知提醒,APP Push,系統,"客戶自行註冊 Firebase 帳號，普魯士設定 APP 推播觸發。
設定各項功能的通知事件，當觸發時系統寄出 APP 推播通知。"
通知提醒,Web Push,系統,xxx
通知提醒,LINE Massaging,系統,"客戶自行註冊，訊息收費額度請參考 https://tw.linebiz.com/service/account-solutions/line-official-account/。
設定各項功能的通知事件，當觸發時系統寄出 LINE 通知。"
通知提醒,twsms,系統,"需預先儲值點數，每次發送簡訊扣除點數，點數費用請參考 https://www.twsms.com/。
設定各項功能的通知事件，當觸發時系統寄出簡訊通知。"
通知提醒,MailGun,系統,"客戶自行註冊並綁定信用卡，信件收費額度請參考 https://www.mailgun.com/pricing/。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。"
通知提醒,Gmail,系統,"客戶自行註冊 Google 帳號，每日免費發信額度為500封。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。"
行銷優惠,商品折價,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。"
行銷優惠,優惠券,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 篩選派發會員名單條件。
［註］派發會員名單意為這張優惠券要派發給哪些會員。"
行銷優惠,優惠代碼,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 設定使用名額、設定每人可使用次數。
［註］使用名額意為先搶先贏。"
行銷優惠,組合銷售,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％。
- 指定組合商品、設定門檻數量。
［註］門檻數量意為被指定的組合商品內需要購買幾個。"
行銷優惠,新會員優惠券,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 派發給新註冊會員、設定開通註冊後幾天內使用。
- 輸入發放優惠券時的信件內容。
［註］起訖日期意為那段期間內才有發放優惠券給新會員。"
行銷優惠,購物金,後台,"- 新增刪除編輯。
- 輸入級距名稱、設定滿額多少可得N點購物金。"
行銷優惠,聯盟行銷優惠代碼,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 自行輸入優惠代碼 or 系統隨機產生優惠代碼。
- 設定夥伴分潤%、統計總結帳金額。"
數據,數據埋設,後台,"預留數據埋設空格，可自行於 <head> 和 <body> 埋入追蹤碼。通常用於埋設 Facebook Pixel 、 Google Tag Manager 及 Google Analytics 4，如果有 GTM 按鈕事件或其他特殊事件需要另外安裝，則另外討論報價。
數據追蹤碼由客戶自行申請。"
數據,Google Search Console,系統,設定 Search Console 權限，用於查看點擊次數、曝光次數、平均點閱率，以及主動向 Google 提交 Stiemap 推進被爬蟲進度。
數據,Facebook Pixel,系統,安裝 Facebook Pixel，用於追蹤使用者互動行為（如頁面瀏覽、按鈕點擊等），以便日後投放 Facebook 廣告時進行再行銷與成效追蹤
數據,Google Tag Manager,系統,安裝 Google Tag Manager，作為統一管理網站上各類追蹤碼的工具，方便日後新增或調整追蹤標籤（如 GA4、轉換事件等）而不需修改原始碼。
數據,Google Analytics 4,系統,埋設 Google Analytics 4，用於追蹤統計分析使用者瀏覽量等數據。
基本,垃圾信件判斷,系統,安裝 Akismet 套件，判斷留言是否為廣告垃圾信件。
文件繪製,Excel 格式,系統,"頁面或後台管理，需要採用 Excel 操作匯入或匯出功能時所需的繪製資料表格式。
#### Excel 匯入格式
- xxx, xxx, ...
#### Excel 匯出格式
- xxx, xxx, ..."
