項次,分類,原始項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
11,Medium,38,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%9C%8B%E6%9C%83%E9%A0%98%E8%88%AA%E5%AE%88%E8%AD%B7%E7%94%9F%E5%91%BD115%E5%B9%B4%E7%AB%8B%E6%B3%95%E9%99%A2%E6%80%A5%E6%95%91%E8%A8%93%E7%B7%B4%E5%86%8D%E5%8D%87%E7%B4%9A%E3%80%8C%E6%99%BA%E6%85%A7%E9%98%BF%E6%A6%AE%E3%80%8D%E8%88%87%E5%89%B5%E5%82%...
參數:國會領航守護生命115年立法院急救訓練再升級「智慧阿榮」與創傷止血打造韌性醫療新防線(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
12,Medium,40,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/12%E9%81%93%E7%B3%BB%E7%B5%B1%E6%9C%8D%E5%8B%99%E5%85%A8%E9%9D%A2%E5%95%9F%E5%8B%95-%E4%B8%AD%E4%BF%9D%E6%8A%8A%E7%A9%BA%E7%B8%BD%E8%AE%8A%E8%BF%B7%E4%BD%A0%E6%99%BA%E6%85%A7%E5%9F%8E%E5%B8%82
參數:12道系統服務全面啟動-中保把空總變迷你智慧城市(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
13,Medium,41,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E3%80%8C%E9%9A%B1%E5%BD%A2%E7%AE%A1%E5%AE%B6%E3%80%8D%E6%9C%83%E6%8A%93%E5%B0%8F%E5%81%B7%E9%97%9C%E7%93%A6%E6%96%AF%E9%96%8B%E7%87%88%E6%99%BA%E6%85%A7%E7%92%B0%E6%8E%A7%E7%B3%BB%E7%B5%B1%E4%B8%80%E6%A9%9F%E5%85%A8%E6%90%9E%E5%AE%9A
參數:「隱形管家」會抓小偷關瓦斯開燈智慧環控系統一機全搞定(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
14,Medium,44,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E5%B8%83%E5%B1%80ai%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%A4%A7%E8%BA%8D%E9%80%B2%E6%97%97%E4%B8%8B%E5%9C%8B%E9%9B%B2%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%8A%A9%E6%94%BB%E6%96%B0%E7%AB%B9%E5%B8%82%E6%99%BA%E6%85%A7%E8%BB%8...
參數:中保科布局ai智慧停車大躍進旗下國雲智慧停車助攻新竹市智慧車柱突破2400席(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
15,Medium,45,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%94%9C%E6%A6%AE%E7%B8%BD-%E5%95%9F%E5%8B%95ai%E9%9F%8C%E6%80%A7%E9%86%AB%E7%99%82%E6%96%B0%E7%AF%87%E7%AB%A0-%E6%8D%90%E8%B4%8823%E5%A5%97ai%E6%99%BA%E6%85%A7%E6%80%A5%E6%95%91%E8%A8%93%E7%B7%B4%E6%A8%A1%E7%B5%84-15%E5%B9%B...
參數:中保科攜榮總-啟動ai韌性醫療新篇章-捐贈23套ai智慧急救訓練模組-15年累計急救訓練超過47萬人(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
16,Medium,49,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%BD%8E%E7%A2%B3%E9%80%9A%E8%A8%8A%E7%AB%99%E4%B8%8A-ces-%E8%88%9E%E5%8F%B0-%E8%87%AA3600%E4%BB%B6%E4%BD%9C%E5%93%81%E4%B8%AD%E8%84%AB%E7%A9%8E%E8%80%8C%E5%87%BA---%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%8A%80-gtalk-%E5%A5%AA%E5%89%B5%E6%96%B0%E7%8D%8E%E4%BA%A...
參數:低碳通訊站上-ces-舞台-自3600件作品中脫穎而出---中保科技-gtalk-奪創新獎亮相官方展區(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
17,Medium,51,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/ar%E9%AB%94%E9%A9%97%E5%92%96%E5%95%A1%E5%BB%B3-%E4%B8%AD%E4%BF%9D%E5%A4%A7%E5%AE%89%E9%A4%A8%E6%8E%A8%E7%89%A9%E8%81%AF%E7%B6%B2%E5%AF%A6%E5%A2%83%E7%A7%80
參數:ar體驗咖啡廳-中保大安館推物聯網實境秀(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
18,Medium,53,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/b2b%E9%9B%BB%E5%AD%90%E5%8C%96%E5%B0%88%E5%AE%B6%E5%A4%A9%E6%B2%B3%E9%9B%BB%E8%A8%8A%E8%AE%93%E4%BC%81%E6%A5%AD%E4%BA%A4%E6%98%93%E8%AE%8A%E7%B0%A1%E5%96%AE%E4%BA%86
參數:b2b電子化專家天河電訊讓企業交易變簡單了(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
19,Medium,55,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%9C%80%E6%99%BA%E6%85%A7%E7%9A%84%E9%96%80%E5%B8%82%E6%A9%9F%E5%99%A8%E4%BA%BA%E7%95%B6%E5%BA%97%E5%93%A1%E9%99%AA%E7%86%9F%E5%AE%A2%E8%81%8A%E5%A4%A9%E9%82%84%E5%B9%AB%E5%BF%99%E4%BF%83%E9%8A%B7%E8%B3%A3%E9%BA%B5%E5%8C%85%E2%8B%AF
參數:最智慧的門市機器人當店員陪熟客聊天還幫忙促銷賣麵包⋯(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
20,Medium,57,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B0%8F%E6%9C%8B%E5%8F%8B%E7%8E%A9%E9%81%8A%E6%88%B2%E5%AD%B8%E7%A8%8B%E5%BC%8F%E8%A8%AD%E8%A8%88%E6%89%93%E9%80%A0%E6%9C%AA%E4%BE%86%E8%B3%88%E4%BC%AF%E6%96%AF
參數:小朋友玩遊戲學程式設計打造未來賈伯斯(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
21,Medium,58,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E3%80%8C%E9%9A%B1%E5%BD%A2%E7%AE%A1%E5%AE%B6%E3%80%8D%E6%9C%83%E6%8A%93%E5%B0%8F%E5%81%B7%E9%97%9C%E7%93%A6%E6%96%AF%E9%96%8B%E7%87%88%E6%99%BA%E6%85%A7%E7%92%B0%E6%8E%A7%E7%B3%BB%E7%B5%B1%E4%B8%80%E6%A9%9F%E5%85%A8%E6%90%9E%E5%AE%9A
參數:「隱形管家」會抓小偷關瓦斯開燈智慧環控系統一機全搞定(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
22,Medium,61,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E7%89%A9%E8%81%AF%E7%B6%B2%E5%9C%A8%E7%B4%85%E4%BB%80%E9%BA%BC%E4%BB%8A%E5%B9%B4%E9%9B%BB%E8%85%A6%E5%B1%955%E5%A4%A7%E8%B6%A8%E5%8B%A2%E6%95%99%E4%BD%A0%E7%A7%92%E6%87%82%E6%99%BA%E6%85%A7%E7%94%9F%E6%B4%BB
參數:物聯網在紅什麼今年電腦展5大趨勢教你秒懂智慧生活(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
23,Medium,64,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E8%B7%AF%E9%82%8A%E5%81%9C%E8%BB%8A%E4%B8%8D%E7%94%A8%E5%86%8D%E7%9E%8E%E7%B9%9E%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8Aapp%E5%B9%AB%E4%BD%A0%E7%9C%81%E6%99%82%E5%8F%88%E7%9C%81%E9%8C%A2
參數:路邊停車不用再瞎繞智慧停車app幫你省時又省錢(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
24,Medium,67,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E7%94%9F%E6%88%90%E5%BC%8F%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E5%85%A8%E9%9D%A2%E6%94%B9%E5%AF%AB%E5%90%84%E8%A1%8C%E5%90%84%E6%A5%AD%E6%89%80%E5%B8%B6%E4%BE%86%E7%9A%84%E8%B3%87%E5%AE%89%E5%8D%B1%E6%A9%9F
參數:生成式人工智慧全面改寫各行各業所帶來的資安危機(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
25,Medium,71,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%BF%9D%E8%8F%AF%E8%B3%87%E5%AE%89%E8%AB%87%E7%87%9F%E6%A5%AD%E7%A7%98%E5%AF%86-%E5%A4%96%E6%B4%A9%E4%B9%8B%E9%98%B2%E7%AF%84
參數:保華資安談營業秘密-外洩之防範(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
26,Medium,73,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%99%BA%E6%85%A7%E7%A7%91%E6%8A%80%E9%9D%A9%E6%96%B0%E7%A7%9F%E5%B1%8B%E9%AB%94%E9%A9%97%E3%80%8C%E6%99%BA%E6%85%A7%E6%88%BF%E6%9D%B1%E6%87%B6%E4%BA%BA%E5%8C%85%E3%80%8D--%E7%82%BA%E6%88%BF%E6%9D%B1%E5%89%B5%E9%80%A0%E5%83%B9%E5%80%BC%E7%82%BA%E6%88%B...
參數:智慧科技革新租屋體驗「智慧房東懶人包」--為房東創造價值為房客築起安全堡壘(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
27,Medium,77,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%8A%80%E5%8F%83%E8%88%872025%E4%BA%9E%E6%B4%B2%E6%8A%80%E8%83%BD%E7%AB%B6%E8%B3%BDformosa%E7%A7%91%E6%8A%80%E4%B9%8B%E5%B3%B6%E5%B1%95%E7%A4%BA%E5%8D%80---%E4%BB%A5ai%E6%99%BA%E6%85%A7%E9%98%B2%E7%81%BD%E5%B1%95%E7%8F%BE%E5...
參數:中保科技參與2025亞洲技能競賽formosa科技之島展示區---以ai智慧防災展現台灣科技實力(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
