模組,項目,分類,說明,頁面欄位
連結管理,連結識別與撤銷機制,系統,"專屬連結之參數綁定與安全撤銷邏輯。
- 每個專屬連結內含加密之顧問識別碼（Advisor ID），求職者透過連結填表時系統自動鎖定所屬顧問，業績歸屬永久正確。
- 連結撤銷防外流：若連結疑似外流或顧問離職，顧問或管理者執行重設後，系統立即廢止舊有 Token，所有舊連結即刻失效。",
文件處理,PDF 自動產生,系統,"表單簽署完成後之後端 PDF 自動合成與存檔邏輯。
- 接收求職者送出之表單資料與手寫簽名圖檔。
- 自動套入對應之文件版型，動態生成標準向量 PDF 檔案。
- 自動將簽署存證資訊（簽署時間、IP 位址、裝置資訊）加註印製於 PDF 文件底部作為法律憑證。
- 產出之 PDF 檔案持久化安全儲存於伺服器指定加密目錄。",
文件處理,文件版型製作（2份）,系統,"客製化程式排版製作兩份標準文件版型（例如：個人資料提供同意書、求職服務委託書等）。
- 依客戶提供之完整條款文字排版製作。
- 套入客戶公司 Logo 與指定品牌色調。
- 精準設定文字段落、表格欄位、勾選格與簽名蓋章位置座標。",
文件處理,PDF 檔案命名規範,系統,"系統產出 PDF 之標準自動命名邏輯。
- 命名格式嚴格採用：YYYYMMDD_姓名_身分證遮罩_文件名稱.pdf（例如：20260812_王小明_A12****89_服務同意書.pdf）。
- 方便下載與批次匯出時快速識別與歸檔。",
表單管理,表單列表,後台,"後台已填寫表單之查詢與管理清單，採手機與電腦雙向最佳化響應式設計，方便隨時查件。
- 支援多維度條件篩選與關鍵字搜尋。
- 依角色權限隔離顯示：管理者可查閱全公司表單，顧問僅能查閱自己發出之表單。
- 列表身分證字號自動遮罩處理。
- 提供單筆查看詳情、下載 PDF、作廢及刪除操作動線。","#### 篩選器
- 日期區間（填表日期起訖）
- 所屬顧問（管理者專用篩選下拉）
- 文件版型（下拉選單）
- 表單狀態（全部／正常／已作廢）
- 關鍵字搜尋框（姓名／電話／身分證字號）
#### 清單欄位
- 填表時間
- 求職者姓名
- 身分證字號（遮罩顯示）
- 聯絡電話
- 所屬顧問
- 文件版型名稱
- 狀態標籤（正常／已作廢）
- 操作按鈕（查看詳情／下載 PDF／作廢表單／刪除）"
表單管理,表單詳情,後台,"檢視單筆表單之完整詳細資訊。
- 完整顯示求職者填寫之所有欄位內容及未遮罩之完整身分證字號（限授權人員）。
- 呈現電子簽名圖檔預覽與簽署存證資訊（簽署時間、IP、裝置）。
- 提供單筆 PDF 下載功能。
- 管理者可操作「作廢表單」或「刪除表單」。","#### 基本與存證資訊
- 表單編號
- 填表時間
- 所屬顧問姓名
- 文件版型名稱
- 填寫模式（逐題填寫／文件檢視）
- 簽署 IP 位址
- 簽署裝置與瀏覽器資訊
- 表單狀態（正常／已作廢）
#### 求職者填寫內容
- 求職者姓名
- 身分證字號（完整顯示）
- 聯絡電話
- 電子信箱
- 條款同意項目與填寫內容
- 電子簽名圖檔預覽
#### 操作功能
- 下載 PDF 檔案按鈕
- 作廢表單按鈕（管理者專用）
- 刪除表單按鈕（管理者專用）
- 返回列表按鈕"
表單管理,表單作廢與軟刪除機制,系統,"表單狀態管理與防刪除存證邏輯。
- 作廢功能：管理者可將有爭議或無效之表單標記為作廢，標記後狀態變更為「已作廢」，保留紀錄但標示無效。
- 軟刪除（Soft Delete）機制：管理者執行刪除時，系統僅將該表單自前台與後台列表中隱藏，底層資料庫與實體 PDF 檔案完整保留，防止誤刪或惡意銷毀，確保日後法務稽核隨時可調閱。",
表單管理,單筆 PDF 下載,系統,"後台單筆 PDF 檔案安全下載串流。
- 點擊後端直接輸出對應表單之已完成簽署 PDF。
- 嚴格驗證操作者權限（管理者可下載全部，顧問僅能下載自己發出之表單）。
- 同步寫入操作稽核紀錄。",
批次匯出,批次匯出管理,後台,"後台批次打包匯出多份 PDF 之操作介面。
- 依篩選條件（日期區間、顧問、文件版型、狀態）將多份 PDF 一鍵打包成 ZIP 壓縮檔。
- 採背景非同步打包，送出匯出需求後操作者可繼續進行其他工作。
- 匯出完成後於後台更新狀態、顯示下載連結並發送 Email 通知操作者。
- 權限隔離：管理者可匯出全公司表單，顧問僅能匯出自己發出之表單。","#### 匯出條件設定
- 日期區間篩選
- 所屬顧問篩選（管理者專用）
- 文件版型選擇
- 符合條件筆數即時統計
- 建立匯出任務按鈕
#### 匯出任務歷史紀錄
- 任務建立時間
- 匯出條件描述
- 包含檔案數量
- 處理狀態（排程中／處理中／已完成／失敗）
- ZIP 下載按鈕（完成時顯示）
- 連結有效期限倒數（24小時）"
批次匯出,背景打包與排程清理,系統,"批次匯出之後端佇列處理與檔案過期清理邏輯。
- 背景佇列打包：將多份符合條件之 PDF 檔案於伺服器背景進行壓縮打包，避免大量檔案導致前端超時或伺服器卡頓。
- 打包完成後自動產出時效性下載 Token。
- 匯出檔案自動過期：ZIP 下載連結於生成 24 小時後自動失效，系統每日排程自動清除已過期之 ZIP 暫存檔，兼顧資安與磁碟空間維護。",
求職者名冊,求職者名冊,後台,"後台求職者資料總覽名冊。
- 系統自動以身分證字號歸戶彙整之求職者清單。
- 顯示每位求職者之基本資料、累計填表次數與最近填表時間。
- 支援姓名、電話、身分證字號快速搜尋。
- 權限隔離：管理者可查看全公司求職者名冊，顧問僅能查看曾由自己接觸／發送表單之求職者名冊。","#### 搜尋篩選
- 關鍵字搜尋框（姓名／電話／身分證字號）
#### 名冊清單
- 求職者姓名
- 身分證字號（遮罩顯示）
- 聯絡電話
- 電子信箱
- 累計填表次數
- 最近填表時間
- 經手顧問
- 操作按鈕（查看填表歷程）"
求職者名冊,求職者歷程詳情,後台,"檢視特定求職者於系統中之完整填表歷程與資料歸戶詳情。
- 呈現求職者基本資料與歷次填表清單。
- 每一次填寫之表單內容、手寫簽名圖檔及產出之 PDF 檔案皆獨立完整保存，可分別點擊查閱或下載。
- 清楚記錄每次填表之時間、經手顧問與文件版本。","#### 求職者基本資料
- 姓名
- 身分證字號（完整顯示）
- 聯絡電話
- 電子信箱
- 首次填表日期
#### 填表歷程紀錄清單
- 填表時間
- 文件版型名稱
- 經手顧問姓名
- 表單狀態（正常／已作廢）
- 操作按鈕（查看該次表單詳情／下載該次 PDF）"
求職者名冊,身分證字號自動歸戶,系統,"求職者身分自動歸戶與多版本歷程保存邏輯。
- 系統以「身分證字號」作為求職者唯一識別碼。
- 當同一求職者多次填表時，系統自動辨識並歸戶至同一求職者檔案之下。
- 每次填表的欄位資料、手寫簽名與 PDF 檔案皆各自獨立封存，確保歷史簽署版本之完整性與法律有效性。",
稽核與資安,操作稽核紀錄,後台,"後台使用者敏感操作之完整稽核紀錄查詢介面（管理者專用）。
- 記錄全系統後台人員之操作行為，包含登入、查看個資詳情、下載 PDF、批次匯出、作廢表單、刪除表單、重設連結、員工帳號變更等。
- 詳細記錄操作時間、操作者、角色、動作類型、操作標的及客戶端 IP 位址。
- 支援日期區間、操作人員與動作類型篩選，供日後法務與資安查核。","#### 篩選器
- 操作日期區間
- 操作人員姓名／帳號
- 操作動作類型（登入／查看個資／下載 PDF／批次匯出／作廢表單／刪除表單／重設連結／帳號異動）
#### 稽核清單欄位
- 操作時間（精確至秒）
- 操作人員（姓名／Email）
- 角色權限（管理者／顧問）
- 動作類型
- 操作標的與描述
- 操作者 IP 位址
- 裝置與瀏覽器資訊"
稽核與資安,個資遮罩機制,系統,"敏感個資顯示保護邏輯。
- 後台表單列表、求職者名冊列表及批次匯出清單中，身分證字號一律強制遮罩顯示（如：A12****789）。
- 僅具權限之人員進入表單詳情頁或求職者歷程頁面時方可完整顯示，且每次檢視皆自動記錄於操作稽核紀錄中。",
稽核與資安,身分證字號資料庫加密,系統,"高度敏感個人資料庫欄位加密存儲。
- 針對身分證字號等機敏欄位，採用 AES 強加密演算法於資料庫底層進行加密儲存。
- 防範資料庫備份檔外流或未授權存取直接讀取明文個資，強化個資法遵循與法律責任保障。",
通知提醒,表單完成通知信（內部人員）,系統,"求職者完成填表時之內部人員 Email 即時通知。
- 觸發時機：求職者成功送出表單後。
- 收件對象：發出該專屬連結之顧問及系統管理者。
- 信件內容：包含填表求職者姓名、填表時間、文件名稱及後台直接查看詳情之快速連結。",
通知提醒,表單副本通知信（求職者）,系統,"求職者填表完成之確認與副本留存 Email 通知。
- 觸發時機：求職者填表時有選填 Email，且表單成功送出後。
- 收件對象：求職者本人信箱。
- 信件內容：感謝填寫說明，並隨信以附件方式附上已完成簽署之 PDF 正式文件副本供求職者留存。",
通知提醒,批次匯出完成通知信,系統,"背景非同步批次匯出完成之 Email 通知。
- 觸發時機：後台背景佇列完成 ZIP 壓縮檔案打包後。
- 收件對象：發起該批次匯出任務之操作人員。
- 信件內容：包含匯出條件摘要、檔案總數、安全下載連結及 24 小時下載期限提醒。",
基礎架構,全站 HTTPS 與自動備份,系統,"全站傳輸安全與資料備份機制。
- 全站配置 SSL／TLS 安全憑證，強制以 HTTPS 加密協定傳輸，防止傳輸過程被攔截竊聽。
- 伺服器端設定資料庫每日定時自動排程備份，確保系統營運穩定與資料安全。",
基礎架構,系統部署與環境建置,系統,"正式環境建置與系統上線部署服務。
- 於指定之正式主機環境進行 Web 伺服器、資料庫、背景佇列服務建置。
- 系統網域名稱設定、DNS 解析配置及 Email 寄件服務串接。
- 正式上線前全功能整合測試與驗收修正。",
基礎架構,系統保固與操作手冊,系統,"系統交付與售後服務。
- 提供管理者與顧問之後台操作說明文件。
- 提供全套系統原始程式碼。
- 提供正式上線後 60 天保固服務，涵蓋既有功能之瑕疵修復。",
