模組,項目名稱,說明,分類
串流與版權防護,動態防側錄浮水印,"於播放器畫面上定時且隨機位置浮動顯示當前登入學員之「Email / 帳號 ID」。
- 有效威嚇螢幕錄影、翻拍與外流轉賣行為。",系統
串流與版權防護,單一帳號在線防護,限制同一會員帳號同時間僅允許一個裝置/Session 觀看影片，防止私下多人合資共用帳號。,系統
購物結帳,購物車,"純虛擬商品購物車頁面。
- 顯示所選課程明細、單價與總計金額。
- 點擊前往結帳動線。",頁面
購物結帳,結帳,"簡化結帳頁面（免填物流與寄送地址）。
- 確認購買人資料（姓名、Email、手機）。
- 填寫電子發票資訊（個人載具 / 公司統編三聯式）。
- 選擇付款方式（一次付清 / 信用卡分期期數 / ATM）。",頁面
購物結帳,結帳成功,"付款成功的引導頁面。
- 顯示訂單編號與購買課程。
- 提供「立即前往上課」一鍵進入上課教室。",頁面
購物結帳,訂單記錄列表,"顯示會員消費訂單紀錄及付款狀態。
- 訂單概略資訊與金額。
- 未付款訂單可點擊再次付款。",頁面
購物結帳,訂單記錄內頁,"進入訂單內頁查看詳細資訊。
- 包含課程明細、付款方式（一次付清/分期期數）、發票號碼與載具資訊。",頁面
購物結帳,訂單管理,"後台查看所有訂單詳細資訊。
- 顯示訂單資料、付款方式、分期期數、發票號碼。
- 訂單狀態根據金流自動調整，亦供管理者手動維護。",後台
購物結帳,購物車結帳動線,"商品加入購物車到完成付款與權限開通的完整動線。
- 加入購物車。
- 轉拋結帳並生成訂單。
- 串接第三方金流取得付款結果。
- 付款成功自動開通課程終身觀看權限並寄送通知信。
- 訂單生命週期狀態維護。",系統
購物結帳,Excel 訂單匯出,後台支援一鍵匯出訂單資料為 Excel 格式，便於財務與會計對帳。,系統
金流與發票,第三方金流 (含信用卡分期),"串接綠界金流 (ECPay) 或 藍新金流 (NewebPay)。
- 信用卡一次付清。
- 信用卡分期付款（支援 3 期 / 6 期 / 12 期）。
- ATM 虛擬帳號轉帳。",系統
金流與發票,第三方電子發票,"串接綠界或藍新電子發票 API。
- 個人二聯式（會員載具、手機條碼載具、自然人憑證）。
- 公司三聯式（統一編號、發票抬頭）。
- 付款完成後系統自動開立電子發票並發送開立通知。",系統
通知提醒,Gmail 系統信件通知,"串接 Google Workspace Gmail 服務（SMTP / Gmail API）發送交易型通知信，信賴度高、進收件匣率佳。
- 購課付款成功通知信（附上課教室連結）。
- 電子發票開立通知信。
- 系統重大安全通知信。",系統
數據,Google Tag Manager,安裝 Google Tag Manager (GTM)，作為統一管理網站各類追蹤碼的工具。,系統
數據,Google Analytics 4,"埋設 GA4，追蹤使用者瀏覽行為與標準電商轉換事件。
- view_item（瀏覽課程）
- add_to_cart（加入購物車）
- begin_checkout（開始結帳）
- purchase（購買完成）",系統
數據,Google Search Console,設定 Google Search Console 權限，提交 Sitemap XML 推進搜尋引擎爬取進度與監控收錄成效。,系統
管理與文件,設定管理者,"新增管理者帳號並設定權限。
- 設定帳號密碼。
- 設定管理權限範圍。
- 停權與復權功能。",後台
管理與文件,系統架構說明手冊,供後續維護與工程師閱覽之系統架構、資料表設計與 API 串接規格說明手冊。,-
管理與文件,後台操作手冊,提供後台功能導覽與圖文操作教學手冊。,-
伺服器與維運,專案維護運作,"◈ 後續每年費用另計。
- 系統維運與異常排除。
- 全方位技術諮詢。
- 定期系統安全更新。",-
伺服器與維運,主機空間 Linode,"◈ 後續每年租賃費用另計。
- 雲端虛擬主機租賃與環境建置。
- 獨立運算資源與資料庫配置。",-
伺服器與維運,網域租賃,客戶自行租賃與提供定錨子網域（如 course.investanchors.com）。,-
伺服器與維運,SSL 安全憑證 CloudFlare,CloudFlare 設定網域 https，安裝長期使用之 SSL 安全憑證防護。,-
