模組,項目,分類,說明,頁面欄位
最新消息,最新消息列表,頁面,品牌公告、優惠活動或衛浴保養知識文章清單。,"#### 清單
- 封面圖／標題／日期
- 分類標籤"
最新消息,最新消息內頁,頁面,進入最新消息頁面查看詳細圖文內容。,"- 封面圖／標題／日期
- 分類標籤
- 詳細內容"
最新消息,消息分類設定,後台,設定最新消息的分類（例如優惠活動、品牌新聞、保養知識等），供編輯時選擇。,
最新消息,消息管理,後台,"編輯管理最新消息的資料欄位與內容。
- 編輯文章標題與內容。
- 選擇分類。
- 設定發佈日期與上下架。",
註冊登入,登入註冊模組,系統,"登入與註冊的系統動線。
- 登入驗證身份、帳號密碼加密。
- 註冊驗證身份、建立會員資料。",
註冊登入,註冊,頁面,"供會員註冊啟用帳號的頁面。
- 會員註冊資料流程填寫。
- Email 驗證。","- 會員姓名
- 聯絡電話
- Email
- 密碼"
註冊登入,登入,頁面,"會員使用網站服務前的登入介面。
- 進行帳號密碼登入驗證。","- Email
- 密碼"
註冊登入,忘記密碼動線,系統,"使用者透過忘記密碼功能重設密碼。
- Email 驗證。
- 系統寄信。
- 啟動重設密碼。",
註冊登入,第三方登入,系統,"透過社群媒體快速登入。
- Facebook 註冊登入。
- Google 註冊登入。
- LINE 註冊登入。",
會員,會員中心,頁面,"顯示會員資料及各項功能入口。
- 修改會員基本資料與密碼。
- 管理常用收件與安裝地址。",
會員,訂單紀錄,頁面,"顯示會員相關消費訂單紀錄及付款、出貨、安裝狀態。
- 訂單清單概略資訊。
- 可點擊進入查看訂單明細與紀錄。",
會員,會員管理,後台,"管理會員資料及顯示相關狀態。
- 查看會員聯絡資訊。
- 查看並篩選訂單紀錄。
- 設定會員停權或復權。",
購物結帳,購物車結帳動線,系統,"商品加入購物車到完成結帳的完整動線經歷。
- 購物車商品轉拋至結帳作業。
- 結帳成功後生成訂單紀錄。
- 系統自動控管與扣除庫存數量。",
購物結帳,購物車,頁面,陳列被加入購物車的產品，顯示數量與單價，加總金額統計，填寫收件與安裝地址。,"- 購買商品明細
- 單價與數量
- 小計總計金額
- 收件人姓名／電話
- 配送地址（及樓層）
- 是否需協助安裝評估"
購物結帳,結帳,頁面,再次確認即將結帳的產品、統計金額及購買人資訊，點擊確認後引導至第三方金流付款。,
購物結帳,訂單管理,後台,"查看及處理訂單詳細資訊。
- 查看購買人、收件人與配送安裝地址等資訊。
- 查看訂單內含之商品明細。
- 變更訂單狀態（未付款／待出貨／已出貨／安裝中／已完成）。
- 新增內部處理與聯絡備註。",
金物流,綠界金流,系統,"串接綠界金流功能提供支付選項。
- 信用卡支付。
- ATM 虛擬帳號轉帳。",
管理者,設定管理者,後台,"新增管理者並設定權限。
- 設定帳號密碼。
- 編輯資料欄位。
- 設定各項管理功能的存取權限。
- 停權復權。",
數據,數據埋設,後台,預留數據埋設空格，可自行埋入各項行銷追蹤碼（例如 FB Pixel 或 GTM）。,
數據,Google Analytics 4,系統,埋設 Google Analytics 4，用於分析全站流量數據與轉換率。
