分組,項目名稱,說明,分類,備註
用量計費與金流,方案管理,"上架多個方案供使用者儲值選擇。
- 新增刪除編輯。
- 編輯方案資訊。
- 設定點數與金額。",後台,
用量計費與金流,營運數據,"提供後端與營運監控資料。
- 模型實際成本與營收報表。
- API 呼叫紀錄。
- AI 生成成功率統計。
- 生成失敗與異常狀況紀錄。",後台,
用量計費與金流,iOS IAP,"串接 Apple In-App Purchase 作為 iOS 平台儲值與付款機制。
- IAP 商品類型與商品結構規劃。
- App Store Connect IAP 商品設定。
- Server-side 收據驗證機制。
- 儲值成功事件回傳至後端帳務系統。
- 防重複請款與異常交易處理。
- 配合 Apple 審核需求之付費流程調整。",系統,
用量計費與金流,Android Google Play Billing,"串接 Google Play Billing 作為 Android 平台儲值與付款機制。
- Google Play Billing 商品結構設定。
- Server-side 收據驗證機制。
- 儲值成功事件回傳至後端帳務系統。
- 防重複請款與異常交易處理。
- 配合 Google Play 審核政策之付費流程調整。",系統,
用量計費與金流,儲值與用量計費機制,"建立 APP 之儲值與扣費邏輯。
- 金額制或點數制（實作方式另議）。
- 使用者需先完成儲值後才能進行生成。
- 僅於生成成功完成時才進行扣費，生成失敗或中斷不扣款。計費條件包含「使用模型、生成類型（圖片／影片）、實際生成次數」。",系統,
用量計費與金流,跨平台帳務整合,"整合 iOS 與 Android 之儲值與帳務資料。
- Apple IAP 收據後端驗證。
- Google Play Billing 收據後端驗證。
- iOS / Android 共用帳務與用量系統。
- 防重複扣費與異常交易處理。",系統,
API,API 架構建置,"建置後端伺服器，作為 APP 與 AI 生成平台之中介系統。
- iOS / Android 共用後端 API 架構。
- APP 不直接存放或呼叫第三方 AI 金鑰。
- 統一由後端轉發 AI 生成請求。
- API 權限與安全性控管。",系統,
API,API 串接,將 APP 所有功能與後端相關的功能，進行前後端串接。,系統,
通知提醒,Gmail,"客戶自行註冊 Google 帳號，每日免費發信額度為500封。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。",系統,
部署與交付,原始 APP 程式碼重構,將客戶已開發之程式碼重新調整結構。,-,應該會需要這麼做。
部署與交付,後端部署與環境建置,"建置專案正式運作環境。
- 正式環境與測試環境。
- 環境變數與金鑰管理。
- 基本資安設定（如請求限制）。",-,
部署與交付,文件交付,"提供專案交付所需文件。
- API 文件。
- 系統架構說明。
- 管理後台操作說明。
- 上架與審核流程紀錄。",-,
上架與審核,iOS 上架與審核,"協助 iOS APP 上架至 Apple App Store，並處理相關審核流程。
- App Store Connect 專案設定。
- App Metadata（名稱、描述、截圖、隱私說明）技術協助。
- 協助提交審核與第一次審核溝通。
- 審核退件時之原因分析與修正建議。",-,
上架與審核,Android 上架與審核,"協助 Android APP 上架至 Google Play，並處理相關審核流程。
- Google Play Console 專案設定。
- APP Content、Data Safety、隱私相關欄位填寫協助。
- 協助提交審核與退件處理建議。",-,
設計階段,UX 設計,"UX 設計著重在使用邏輯與操作流程，提升使用者的整體體驗與任務完成效率。
- 使用者訪談與需求釐清。
- 制定網站目標、邏輯規則與動線流程。
- 功能規劃與頁面結構整理，並繪製 Wireframe 作為後續 UI 設計依據。
- WireFrame 繪製工具為 Figma。",-,重新梳理整個 APP 及管理後台的動線。
設計階段,UI 設計,"UI 設計專注於視覺呈現與介面細節，強化品牌感並提升用戶的第一印象。
- 根據品牌定位與 UX 成果設計視覺風格。
- 設計稿繪製工具為 Figma。
- 初版會先挑1個頁面來確認風格，風格調整最多3次。",-,為新增的頁面畫稿，以及重新為既有畫面統一視覺風格。
其他,操作手冊,供使用者閱覽的操作手冊。,-,
