模組,項目名稱,說明,分類
購物結帳,購物車,將課程加入購物車，顯示課程資訊、單價、金額統計。,頁面
購物結帳,結帳,再次確認課程資訊、統計金額及運費、購買人資訊。,頁面
購物結帳,結帳成功,付款成功的文案。,頁面
金流,第三方金流,開啟信用卡、ATM，串接第三方金流 API。常用服務為綠界。,系統
金流,第三方電子發票,開啟二聯式、三聯式，串接第三方電子發票。常用服務為綠界。,系統
行銷優惠,課程組合,設定加入多個課程，產生新的合購價。,後台
行銷優惠,折價券,"- 設定折價金額或％，指定折價對象為多個課程或多個分類。
- 設定消費門檻、設定起始使用日期、設定終止使用日期。
- 篩選派發會員名單條件。",後台
行銷優惠,新會員優惠券,"- 設定折價金額或％，指定折價對象為多個課程或多個分類。
- 設定消費門檻、設定起始使用日期、設定終止使用日期。
- 派發給新註冊會員。",後台
行銷優惠,早鳥優惠,"- 課程上架後的某段時間內享有折扣百分比，並且可以設定多個時段。
- 設定對象是每個課程個別設定。
- 可以編輯預設參數。例如每個課程都預設為 30 天內 6 折、60 天內 8 折，但可以再自行調整。",後台
通知提醒,twsms,"twsms 需預先儲值點數，每次發送簡訊扣除點數。
- 會員手機號碼驗證。",系統
通知提醒,MailGun,"客戶自行註冊並綁定信用卡，信件收費額度請參考 MailGun 官方網站。
- 新會員註冊。
- 忘記密碼。
- 購買課程訂單付款提醒。
- 直播課程購買後信件。",系統
通知提醒,LINE Notify,- 新留言通知管理者。,系統
數據,Google Analytics 4,埋設 Google Analytics 4，用於追蹤統計分析使用者瀏覽量等數據。,系統
數據,Google Search Console,設定 Search Console 權限，用於查看點擊次數、曝光次數、平均點閱率，以及主動向 Google 提交 Stiemap 推進被爬蟲進度。,系統
其他,系統架構說明手冊,供工程師閱覽的說明手冊。,-
伺服器與網站維護相關,專案維護運作,"◈ 後續每年費用 $。
- 全方位顧問諮詢。
- 修改文案圖片12次。
- 網站系統維運排除異常。",-
伺服器與網站維護相關,主機空間 Linode 8GB,"◈ 後續每年租賃費用 $24,000。
- RAM 4 GB
- CPU 4 Core
- Transfer 5 TB
- Storage 160 GB SSD
- Network In/Out 40/5 Gbps",-
伺服器與網站維護相關,網域租賃,客戶自行租賃。,-
伺服器與網站維護相關,SSL 安全憑證 CloudFlare,CloudFlare 設定網域 https，安裝 1 次即可長期使用 SSL 安全憑證。,-
