項目,分類,模組,說明,頁面欄位
供應商申請競標專案 Step 2,頁面,供應商申請競標專案,"供應商申請競標專案拆分為 Step 1 和 Step 2 兩個頁面，本頁面 Step 2 編輯讓採購商標價的產品規格。
- 上傳設備分級表
- 編輯產品規格／上傳產品規格 Excel","#### 上傳設備分級表
- 上傳設備分級表
#### 產品規格
- 品牌／商品
- 規格／分級／數量"
查看供應商申請競標專案,後台,供應商申請競標專案,"查看會員提出的競標專案申請，點擊動作後進入申請競標專案動線。
#### 列表
- 概略資訊清單。
#### 內頁
- 查看資料欄位。
- 動作（受理／拒絕）。",
申請競標專案動線,系統,供應商申請競標專案,"後台查看供應商申請競標專案，點擊動作後的進一步動線。
- 點擊受理，開啟競標專案管理的新增編輯頁面，將該需求的資料欄位轉貼進去。
- 點擊拒絕，必須填寫拒絕原因，系統會發信通知會員。",
註冊 Step 1,頁面,註冊登入,平台會員僅供企業用戶申請，限公司行號申請。第一步先建立帳號密碼。,"- 帳號
- 密碼
- 密碼確認"
註冊 Step 2,頁面,註冊登入,"第二步為填寫完整資訊。
- 填寫註冊資料欄位。
- 上傳公司證明文件。
- 同意相關條款。
- 送出審核申請。","#### 公司
- 公司名稱
- 稅務編號
- 負責人
- 公司電話
- 國家
- 公司地址
#### 聯絡人
- 聯絡人名稱
- 職稱
- 電話
- WhatsApp
- 聯絡 Email"
註冊完成等待審核,頁面,註冊登入,填寫會員註冊表單後的提示訊息頁面，等待管理者審核。,
登入,頁面,註冊登入,會員使用網站服務前的登入介面。,"- 帳號
- 密碼"
忘記密碼 Step 1,頁面,註冊登入,系統將於輸入 Email 後發送重設密碼連結。,- 帳號
忘記密碼 Step 2,頁面,註冊登入,提示可以返回註冊帳號之 Email 收取重設密碼信件。,
重設密碼,頁面,註冊登入,透過忘記密碼動線發送至 Email 的連結重設密碼。,"- 新密碼
- 新密碼確認"
新會員註冊審核,後台,註冊登入,"接收會員註冊申請，管理者判斷是否審核通過。
#### 列表
- 申請概略資訊。
#### 內頁
- 查看會員填寫的完整資訊。
- 審核結果（通過／拒絕），點擊拒絕必須填寫拒絕原因。",
註冊審核動線,系統,註冊登入,"會員註冊的系統動線
1. 會員提出申請註冊，管理者人工審核。
2. 審核通過後，系統發送帳號啟用信件。
3. 使用者點擊啟用連結才可開始登入。
#### 若申請被拒絕
1. 系統發送拒絕信件，內容附上拒絕原因。系統保留該 Email 的原始資料。
2. 使用者重新註冊 Email 可以帶入前次填寫資料，並顯示拒絕原因。
3. 修改後重新提交申請。",
忘記密碼動線,系統,註冊登入,"使用者透過忘記密碼功能重設密碼。
- Email 驗證會員資料及驗證輸入正確性。
- 系統寄信。
- 啟動重設密碼。",
會員中心,頁面,會員,"會員自行管理資料，及查看紀錄。
- 編輯會員資料欄位。
- 修改密碼。","#### 帳號與安全設定
- 會員編號（系統自動給予，不可修改）
- 登入帳號（Email，不可修改或需經過驗證修改）
- 修改密碼（舊密碼、新密碼、確認新密碼）
#### 公司
- 公司名稱
- 稅務編號
- 資本額／成立日期
- 負責人
- 國家／公司完整地址
- 公司電話
#### 聯絡人
- 聯絡人名稱／職稱
- 聯絡電話／WhatsApp
- 聯絡 Email"
物流與收件地址,頁面,會員,提供會員新增與管理常用的物流方式及收件地址，方便採購與得標時快速帶入。,"- 物流名稱
- 常用收件國家與地址
- 物流方式（海運／空運）／貨運業者（如 UPS 或 FedEx）"
投標紀錄,頁面,會員,列出會員參與過的所有競標專案紀錄，並能查看當前投標狀態與物流進度。,"- 投標日期
- 狀態（正在投標／得標／未得標／取消）
- 數量與品牌／競標名稱／編號
- 模式
- 匯款水單
- 物流
- 查看按鈕"
投標紀錄詳情,頁面,會員,顯示單筆投標紀錄的詳細內容，包含競標條件及產品規格，並提供上傳匯款水單的功能。,"#### 概略資訊
- 您的投標日期
- 狀態
- 匯款水單
- 物流
#### 詳細資訊
- 競標模式
- 交易貨幣
- 出貨條件
- 得標者人數
- 截止前可否修改出價
- 得標者需於幾日內完成匯款
#### 產品規格清單 Table
- 產品
- 規格
- 分級
- 機況備註
- 數量
- 投標單價
- 投標數量
- 小計"
商店採購紀錄,頁面,會員,列出會員於現貨商店送出的所有採購單明細與目前處理狀態。,"- 提交日期
- 狀態（處理中／已發貨／已完成／取消）
- 採購單
- 金額
- 物流"
Excel 格式,系統,文件繪製,"頁面或後台管理，需要採用 Excel 操作匯入或匯出功能時所需的繪製資料表格式。
#### Excel 匯入格式
- 競標專案內頁（頁面）的產品投標金額設定。
- 競標專案管理（後台）批次上架競標專案概略資訊。
- 競標專案管理（後台）內頁匯入單個競標專案的競標產品規格。
- 採購需求管理（後台）批次上架採購需求概略資訊。
- 供應商申請競標專案（頁面）內頁匯入單個競標專案的競標產品規格。
- 採購商申請採購需求（頁面）內頁匯入單個採購需求的競標產品規格。
#### Excel 匯出格式
- 競標專案內頁（頁面）的產品投標 Excel 範例格式。
- 競標專案管理（後台）匯出競標專案概略資訊。
- 競標專案管理 > 投標紀錄（後台）匯出投標紀錄概略資訊。
- 採購需求管理（後台）匯出採購需求概略資訊。",
商店採購紀錄詳情,頁面,會員,顯示單筆採購單的詳細商品規格、採購會員資料及物流設定資訊。,"#### 產品規格清單 Table
- 產品／規格／分級
- 機況備註
- 金額／數量／小計
#### 採購公司資料
- 公司名稱
- 稅務編號
- 資本額
- 成立日期
- 負責人
- 公司電話
#### 聯絡人
- 聯絡人名稱
- 職稱
- 聯絡電話
- Whatsapp
- Email
#### 物流設定
- 國家
- 收件地址
- 物流方式
- 貨運業者
- 備註"
供應商申請競標專案紀錄,頁面,會員,列出供應商過去提交的競標專案申請紀錄及審核狀態。,"- 申請日期
- 狀態（審核中／已受理／已拒絕）
- 競標專案
- 競標模式（by Total／by SKU）"
供應商申請競標專案紀錄詳情,頁面,會員,顯示單筆申請競標專案的詳細規則與設備清單等資訊。,"#### 概略資訊
- 您的申請日期
- 狀態（審核中／已受理／已拒絕）
- 設備分級表
#### 詳細資訊
- 競標模式
- 交易貨幣
- 出貨條件
- 投標保證金
- 截止前可否修改出價
- 得標者需於幾日內完成匯款
#### 產品規格清單 Table
- 產品
- 規格
- 分級
- 機況備註
- 數量"
採購商申請採購需求紀錄,頁面,會員,列出採購商過去提交的採購需求申請紀錄及審核狀態。,"- 申請日期
- 狀態（審核中／已受理／已拒絕）
- 採購需求"
採購商申請採購需求紀錄詳情,頁面,會員,顯示單筆申請採購需求的詳細規則與設備產品清單資訊。,"#### 概略資訊
- 您的申請日期
- 狀態（審核中／已受理／已拒絕）
- 設備分級表
#### 詳細資訊
- 交易貨幣
- 出貨條件
#### 產品規格清單 Table
- 產品
- 規格
- 分級
- 機況備註
- 數量"
會員管理,後台,會員,"管理會員資料及顯示相關狀態。
#### 列表
- 會員概略資訊。
#### 內頁
- 編輯資料欄位。
- 設定帳號密碼。
- 查看競標專案紀錄。
- 查看採購需求紀錄。
- 查看供應商申請競標專案紀錄。
- 查看採購商申請採購需求紀錄。
- 停權復權功能，被停權的會員將無法登入。",
黑名單管理,後台,會員,查看被管理者設定為黑名單的會員，後續仍可以移出黑名單。,
採購商申請採購需求 Step 1,頁面,採購商申請採購需求,"採購商申請採購需求拆分為 Step 1 和 Step 2 兩個頁面，本頁面 Step 1 先選擇基本設定。
- 基本資訊
- 規則條件","#### 基本資訊
- 採購名稱
- 起訖日期
- 備註
#### 規則條件
- 交易貨幣（固定為 USD）
- 出貨條件"
採購商申請採購需求 Step 2,頁面,採購商申請採購需求,"採購商申請採購需求拆分為 Step 1 和 Step 2 兩個頁面，本頁面 Step 2 編輯讓供應商查看的產品規格。
- 上傳設備分級表
- 編輯產品規格／上傳產品規格 Excel","#### 上傳設備分級表
- 上傳設備分級表
#### 產品規格
- 品牌／商品
- 規格／分級／數量"
查看採購商申請採購需求,後台,採購商申請採購需求,"查看會員提出的採購需求申請，點擊動作後進入申請採購需求動線。
#### 列表
- 概略資訊清單。
#### 內頁
- 查看資料欄位。
- 動作（受理／拒絕）。",
申請採購需求動線,系統,採購商申請採購需求,"後台查看供應商申請採購需求，點擊動作後的進一步動線。
- 點擊受理，開啟採購需求管理的新增編輯頁面，將該需求的資料欄位轉貼進去。
- 點擊拒絕，必須填寫拒絕原因，系統會發信通知會員。",
關於我們,頁面,靜態頁面,平台簡介與團隊資訊。,
設備分級表,頁面,靜態頁面,公告平台的設備評級標準，後續投標或購買以此為依據。,
隱私權政策,頁面,靜態頁面,隱私權與資料使用說明。,
服務條款,頁面,靜態頁面,使用規範與責任條款。,
競標規則及條款,頁面,靜態頁面,公告平台制定的競標規則及條款聲明。,
採購需求列表,頁面,採購需求,"列出所有採購需求，點擊進入查看詳細資訊。僅註冊會員可以進入查看內頁。這邊僅陳列買家需求，沒有實際的標案動線。
- 標題區塊。
- 總計需求數量。
- 篩選器。
- 採購需求清單。","#### 篩選器
- 設備數量
- 品牌（如 Apple 或 Samsung 等）
- 標籤（無／新上架／倒數 24h／倒數 48h）
#### 清單
- 狀態（正在採購／結束／取消）
- 交易貨幣
- 設備數量與品牌
- 標籤（無／新上架／倒數 24h／倒數 48h）
- 開始日期時間
- 截止日期時間"
採購需求內頁,頁面,採購需求,"採購需求詳細資訊。
- 標題區塊。
- 起訖日期與倒數。
- 產品清單。
- 聯絡資訊。","#### 頁面通用
- 狀態（正在採購／結束／取消）
- 競標名稱
- 競標編號
- 交易貨幣
- 本標案得標者數量（N位）
- 開始日期時間
- 截止日期時間
- 設備分級表（廠商上傳 or 平台公版）
#### 產品清單 Table
- 產品
- 規格
- 分級
- 機況備註
- 數量"
採購需求管理,後台,採購需求,"編輯管理採購需求的資料欄位與內容。
#### 列表
- 新增、刪除、編輯。
- 概略資訊清單。
- Excel 匯入上架採購需求概略資訊。
- Excel 匯出採購需求概略資訊。
#### 內頁
- 資料欄位編輯。
- 設定起訖日期時間。
- 聯絡人資料編輯。",
現貨商店列表,頁面,現貨商店,"現貨商店與競標專案模式不同，用於直接販售庫存商品，但是此為 B2B 批發模式，不涉及線上金流與物流，提交採購單後由管理者線下處理。
商店頁面類似於電商網站，設計核心為快速瀏覽與篩選提供會員查看商品規格、分級、單價與庫存數量，並可直接加入購物車。
僅註冊會員可以進入查看內頁。
- 標題區塊。
- 篩選器。
- 商品清單。","#### 篩選器
- 關鍵字搜尋
- 金額區間（最小值／最大值）
- 品牌
- 設備分級（New／A／B／C／D）
#### 商品清單
- 分類（手機／平板／電腦）／品牌
- 商品名稱／容量／顏色／分級
- 交易貨幣與單價
- 輸入採購量／庫存數量"
現貨商店內頁,頁面,現貨商店,"現貨商店的商品詳細資訊頁面，提供會員完整商品規格、分級狀況、價格與庫存資訊，並作為加入購物車的操作頁面。
- 標題區塊。
- 商品詳細資訊。
- 加入採購單按鈕。","#### 商品摘要
- 商品名稱／容量／顏色
- 分類（手機／平板／電腦）／品牌／分級
- 照片輪播
- 交易貨幣與單價
- 輸入採購量／庫存數量
#### 商品詳情
- 成色與機況說明（後台統一設定條款）
- 版本與鎖定狀態（後台統一設定條款）
- 保固與售後（後台統一設定條款）
- 編輯器詳細說明"
購物車,頁面,現貨商店,"列出被加入購物車的現貨商品，顯示每個商品的資訊與金額，並可點擊進入填寫採購單動線。
- 現貨商品清單。
- 修改數量。
- 加總金額統計。
- 提交採購單。","#### 商品清單
- 分類（手機／平板／電腦）／品牌
- 商品名稱／容量／顏色／分級
- 交易貨幣與單價
- 輸入採購量／庫存數量
#### 總計
- 總計商品種類、數量
- 總計交易貨幣與金額"
填寫採購單,頁面,現貨商店,"確認要採購商品清單，以及填寫採購資訊。
- 現貨商品概略資訊。
- 採購人資料。
- 提交採購按鈕。","#### 採購商品清單
- 分類（手機／平板／電腦）／品牌
- 商品名稱／容量／顏色／分級
- 交易貨幣與單價
- 採購量／小計金額
#### 採購人資料（自動帶入會員資料）
##### 採購公司資料
- 公司名稱／稅務編號
- 資本額／成立日期
- 負責人／公司電話
- 國家／公司地址
##### 物流設定
- 聯絡人名稱／職稱
- 聯絡電話／Whatsapp
- Email
##### 聯絡人
- 國家／收件地址
- 物流方式／貨運業者
- 備註"
填寫完成,頁面,現貨商店,確認採購完成的訊息頁面。,"#### 採購商品清單
同填寫採購單。
#### 採購人資料
同填寫採購單。"
現貨商店管理,後台,現貨商店,"上架與編輯管理現貨商品的資料欄位與內容。
#### 列表
- 新增、刪除、編輯。
- 概略資訊清單。
- Excel 匯入上架現貨商品。
- Excel 匯出現貨商品概略資訊。
#### 內頁
- 資料欄位編輯。
- 設定庫存數量。",
現貨商店規則邏輯,系統,現貨商店,"現貨商店的系統規則邏輯。
- 訪客僅能看到列表頁面的部分資訊，隱藏庫存數量、單價與交易貨幣、最低採購量、輸入採購數量。訪客點擊進入內頁會跳出登入 Modal。",
Gmail,系統,通知提醒,"客戶自行註冊 Google 帳號，每日免費發信額度為500封。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。
- 新會員註冊審核通過（含帳號啟用連結）。
- 新會員註冊審核拒絕（含拒絕原因）。
- 競標專案結果通知（得標／未得標）。
- 供應商申請競標專案通過。
- 供應商申請競標專案拒絕（含拒絕原因）。
- 採購商申請採購需求通過。
- 採購商申請採購需求拒絕（含拒絕原因）。
- 新競標專案通知會員。",
品牌管理,後台,產品,,
產品管理,後台,產品,,
語言包,系統,多語系,"[ 繁體中文, 英文 ] 2種語言多語系架構。
- 前端依照語言版本寫入對應的固定文案。
- 前端變數欄位讀取後端 API 提供的資料。
- 後台管理介面切換語言欄位。 "
