題目,選項
均價線多頭排列且走揚,"- 5日/10日
- 5日/10日/20日
- 5日/20日
- 10日/20日
- 10日/20日/60日
- 10日/60日
- 20日/60日
- 20日/60日/120日
- 20日/60日/240日
- 20日/120日
- 20日/120日/240日
- 20日/240日
- 60日/120日
- 60日/120日/240日
- 60日/240日
- 120日/240日
- 5日/10日/月
- 5日/月
- 10日/月
- 10日/月/季
- 10日/季
- 月/季
- 月/季/半年
- 月/季/年
- 月/半年
- 月/半年/年
- 月/年
- 季/半年
- 季/半年/年
- 季/年
- 季/年/二年
- 季/年/三年
- 半年/年
- 半年/年/二年
- 半年/年/三年
- 年/二年
- 年/二年/三年
- 年/三年
- 年/三年/五年
- 年/三年/十年
- 二年/三年
- 二年/三年/五年
- 三年/五年
- 三年/五年/十年
- 三年/十年
- 五年/十年
- 五年/十年/二十年
- 十年/二十年
- 所有均線"
均價線空頭排列,"- 5日/10日
- 5日/10日/20日
- 5日/20日
- 10日/20日
- 10日/20日/60日
- 10日/60日
- 20日/60日
- 20日/60日/120日
- 20日/60日/240日
- 20日/120日
- 20日/120日/240日
- 20日/240日
- 60日/120日
- 60日/120日/240日
- 60日/240日
- 120日/240日
- 5日/10日/月
- 5日/月
- 10日/月
- 10日/月/季
- 10日/季
- 月/季
- 月/季/半年
- 月/季/年
- 月/半年
- 月/半年/年
- 月/年
- 季/半年
- 季/半年/年
- 季/年
- 季/年/二年
- 季/年/三年
- 半年/年
- 半年/年/二年
- 半年/年/三年
- 年/二年
- 年/二年/三年
- 年/三年
- 年/三年/五年
- 年/三年/十年
- 二年/三年
- 二年/三年/五年
- 三年/五年
- 三年/五年/十年
- 三年/十年
- 五年/十年
- 五年/十年/二十年
- 十年/二十年
- 所有均線"
均價線空頭排列且走跌,"- 5日/10日
- 5日/10日/20日
- 5日/20日
- 10日/20日
- 10日/20日/60日
- 10日/60日
- 20日/60日
- 20日/60日/120日
- 20日/60日/240日
- 20日/120日
- 20日/120日/240日
- 20日/240日
- 60日/120日
- 60日/120日/240日
- 60日/240日
- 120日/240日
- 5日/10日/月
- 5日/月
- 10日/月
- 10日/月/季
- 10日/季
- 月/季
- 月/季/半年
- 月/季/年
- 月/半年
- 月/半年/年
- 月/年
- 季/半年
- 季/半年/年
- 季/年
- 季/年/二年
- 季/年/三年
- 半年/年
- 半年/年/二年
- 半年/年/三年
- 年/二年
- 年/二年/三年
- 年/三年
- 年/三年/五年
- 年/三年/十年
- 二年/三年
- 二年/三年/五年
- 三年/五年
- 三年/五年/十年
- 三年/十年
- 五年/十年
- 五年/十年/二十年
- 十年/二十年
- 所有均線"
均價線相互接近,"- 5日/10日/月 (差幅<0.03%)
- 5日/10日/月 (差幅<0.05%)
- 5日/10日/月 (差幅<0.1%)
- 5日/10日/月 (差幅<0.2%)
- 5日/10日/月 (差幅<0.3%)
- 5日/10日/月 (差幅<0.5%)
- 5日/10日/月 (差幅<1%)
- 月/季 (差幅<0.03%)
- 月/季 (差幅<0.05%)
- 月/季 (差幅<0.1%)
- 月/季 (差幅<0.2%)
- 月/季 (差幅<0.3%)
- 月/季 (差幅<0.5%)
- 月/季 (差幅<1%)
- 月/季/半年 (差幅<0.3%)
- 月/季/半年 (差幅<0.5%)
- 月/季/半年 (差幅<1%)
- 月/季/半年 (差幅<2%)
- 月/季/半年 (差幅<3%)
- 月/季/半年 (差幅<5%)
- 月/季/年 (差幅<0.5%)
- 月/季/年 (差幅<1%)
- 月/季/年 (差幅<2%)
- 月/季/年 (差幅<3%)
- 月/季/年 (差幅<4%)
- 月/季/年 (差幅<5%)
- 季/半年 (差幅<0.05%)
- 季/半年 (差幅<0.1%)
- 季/半年 (差幅<0.2%)
- 季/半年 (差幅<0.3%)
- 季/半年 (差幅<0.5%)
- 季/半年 (差幅<1%)
- 季/半年/年 (差幅<0.5%)
- 季/半年/年 (差幅<1%)
- 季/半年/年 (差幅<1.5%)
- 季/半年/年 (差幅<2%)
- 季/半年/年 (差幅<3%)
- 季/半年/年 (差幅<5%)
- 季/年/三年 (差幅<1%)
- 季/年/三年 (差幅<2%)
- 季/年/三年 (差幅<3%)
- 季/年/三年 (差幅<4%)
- 季/年/三年 (差幅<5%)
- 半年/年 (差幅<0.1%)
- 半年/年 (差幅<0.2%)
- 半年/年 (差幅<0.3%)
- 半年/年 (差幅<0.5%)
- 半年/年 (差幅<1%)
- 年/三年/十年 (差幅<3%)
- 年/三年/十年 (差幅<5%)
- 年/三年/十年 (差幅<7%)
- 年/三年/十年 (差幅<10%)
- 所有均線 (差幅<1%)
- 所有均線 (差幅<2%)
- 所有均線 (差幅<3%)
- 所有均線 (差幅<5%)
- 所有均線 (差幅<7%)
- 所有均線 (差幅<10%)"
均價線向上走揚,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均價線向下走跌,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均價線走平,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
成交價在均價線之上,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
成交價在均價線之下,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均價線交叉向上,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均價線即將交叉向上,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均價線交叉向下,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均價線即將交叉向下,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均價線相互糾結,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均量線向上走揚,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均量線向下走跌,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均量線走平,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
成交量在均量線之上,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
成交量在均量線之下,"- 5日線
- 10日線
- 15日線
- 20日線
- 50日線
- 60日線
- 100日線
- 120日線
- 200日線
- 240日線
- 月線
- 季線
- 半年線
- 年線
- 二年線
- 三年線
- 五年線
- 十年線
- 二十年線"
均量線交叉向上,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均量線即將交叉向上,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均量線交叉向下,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均量線即將交叉向下,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
均量線相互糾結,"- 5日/10日
- 5日/20日
- 10日/20日
- 10日/60日
- 20日/60日
- 20日/120日
- 20日/240日
- 60日/120日
- 60日/240日
- 120日/240日
- 5日/月線
- 10日/月線
- 10日/季線
- 月線/季線
- 月線/半年
- 月線/年線
- 季線/半年
- 季線/年線
- 半年/年線
- 年線/二年
- 年線/三年
- 二年/三年
- 二年/五年
- 三年/五年
- 三年/十年
- 五年/十年
- 五年/二十年
- 十年/二十年"
