模組,項目,分類,說明,頁面欄位
收費項目及金額明細,拓美－收費項目及金額明細,頁面,"拓美諮詢主管機關核備之 A-5 收費項目及金額明細表重製為網頁表格。
- 收費明細表重製為 RWD 響應式網頁表格，窄螢幕與手機裝置可流暢瀏覽。
- 關鍵數據與收費規範以純文字呈現供搜尋引擎收錄。
- 提供原始核備 PDF 文件線上預覽與下載。","#### 標題與法規說明
- 頁面標題（收費項目及金額明細表）
- 法規核備依據與公告文案
#### 收費明細表格（RWD 響應式 Table）
- 服務對象分類（雇主／求職者）
- 項目名稱（登記費／介紹費／甄選費／職業心理測驗費等）
- 收費標準與金額上限
- 計費方式與收費時機說明
- 備註條款與注意事項
#### 文件下載專區
- 拓美諮詢 A-5 私立就業服務機構收費項目及金額明細表（PDF 線上預覽與下載按鈕）"
個人資料保護告知聲明,古卓－個人資料保護告知聲明,頁面,"古卓個人資料保護法告知義務暨同意書 Word 文件轉製為正式網頁。
- 約 2,000 字文件內容完整轉製。
- 條列層級、標題縮排與段落重新編排，提升閱讀體驗與合規性。
- 清晰列出法定告知事項與當事人權利行使管道。","#### 聲明前言
- 頁面標題（個人資料保護法告知義務暨同意書）
- 適用對象與前言說明
#### 法定告知條款
- 蒐集機關名稱（古卓諮詢股份有限公司）
- 個人資料蒐集之目的
- 個人資料之類別（基本資料、特徵類、就業歷程等）
- 個人資料利用之期間、地區、對象及方式
- 當事人得行使之權利及管道（查詢、更正、刪除等）
- 不提供個人資料對權益之影響
- 專責聯絡窗口與諮詢信箱"
個人資料保護告知聲明,拓美－個人資料保護告知聲明,頁面,"拓美個人資料保護法告知義務暨同意書 Word 文件轉製為正式網頁。
- 約 2,000 字文件內容完整轉製。
- 條列層級與段落層次重構，利於使用者快速瀏覽與查閱。
- 完整呈現法令規定之告知與同意事項。","#### 聲明前言
- 頁面標題（個人資料保護法告知義務暨同意書）
- 適用對象與前言說明
#### 法定告知條款
- 蒐集機關名稱（拓美諮詢股份有限公司）
- 個人資料蒐集之目的
- 個人資料之類別
- 個人資料利用之期間、地區、對象及方式
- 當事人權利行使方式與保障
- 不提供個人資料對權益之影響
- 專責聯絡窗口與諮詢信箱"
網站使用條款,古卓－網站使用條款,頁面,"古卓諮詢網站使用條款排版與頁面建置。
- 依客戶提供之條款文字進行專業網頁排版製作。
- 規劃結構化章節與條款編號，提升法規易讀性。","#### 條款標題與版本
- 條款標題（網站使用條款）
- 生效日期與版本資訊
#### 條款內容章節
- 服務條款認知與接受
- 智慧財產權聲明與使用限制
- 使用者行為規範
- 免責聲明與服務中斷條款
- 準據法與管轄法院約定"
網站使用條款,拓美－網站使用條款,頁面,"拓美諮詢網站使用條款排版與頁面建置。
- 依客戶提供之條款文字進行專業網頁排版製作。
- 規劃結構化章節與條款排版，確立網站權責規範。","#### 條款標題與版本
- 條款標題（網站使用條款）
- 生效日期與版本資訊
#### 條款內容章節
- 條款範圍與使用者同意
- 智財權保護與授權範圍
- 使用者行為規範
- 系統免責條款
- 準據法與管轄約定"
履歷上傳表單,古卓－履歷上傳,頁面,"求職者線上填寫基本資料並上傳履歷檔案。
- 欄位維持現行架構：姓名、電子郵件（必填）、電話、履歷檔案。
- 支援檔案上傳格式限制與容量檢查（單檔上限 10 MB）。
- 整合個資條款同意確認勾選框。
- 整合防機器人驗證機制。
- 提交後顯示送出成功提示與後續流程說明。","#### 填寫欄位
- 求職者姓名（必填）
- 電子郵件（必填）
- 聯絡電話
#### 履歷上傳
- 履歷檔案選擇（支援 PDF／Word 格式，單檔上限 10 MB）
- 已選檔案名稱與大小提示
#### 同意與驗證
- 個人資料保護聲明同意勾選框
- 防機器人驗證（reCAPTCHA）
- 提交履歷按鈕"
履歷上傳表單,履歷檔案儲存與安全傳輸,系統,"求職者上傳之履歷檔案安全處理機制。
- 檔案直接上傳儲存於客戶指定之自有雲端儲存空間。
- 單檔上限維持 10 MB。
- 後端進行副檔名與檔案 MIME Type 安全驗證，阻擋可執行檔。
- 檔案儲存採用隨機安全路徑與檔名雜湊，防止未授權目錄遍歷。",
履歷上傳表單,防機器人表單驗證,系統,整合 Google reCAPTCHA／Cloudflare Turnstile 防機器人驗證機制，防止自動化機器人惡意提交表單與阻斷服務攻擊。,
履歷上傳表單,履歷保存期限與自動清理,系統,"依個人資料保護法規範設定履歷保存期限。
- 設定履歷保存時限（例如 1 年或 2 年）。
- 系統背景排程每日定時檢查，逾期檔案與紀錄自動永久刪除，落實個資保護合規。",
履歷上傳表單,履歷投遞通知信,系統,"求職者提交履歷後之內部 Email 通知機制。
- 觸發時機：求職者成功送出履歷表單。
- 收件對象：古卓內部指定收件信箱。
- 信件內容：提供求職者姓名、Email、電話與投遞時間，並提供具時效性之安全下載連結，信件本身不直接夾帶實體履歷檔案。",
投遞管理,後台登入（Email OTP）,後台,"管理者與顧問登入後台之身分驗證介面。
- 採用電子郵件一次性驗證碼（Email OTP）驗證身分。
- 無密碼登入機制，免除密碼記憶負擔與外流風險。
- 具備防暴力破解與驗證碼時效控制。","- 管理者 Email
- OTP 一次性驗證碼
- 發送驗證碼按鈕
- 登入按鈕"
投遞管理,履歷投遞紀錄管理,後台,"管理與查看求職者投遞紀錄。
- 清單瀏覽所有投遞資料（姓名、聯絡方式、投遞時間、處理狀態）。
- 支援日期區間篩選與姓名／電話／Email 關鍵字搜尋。
- 支援單筆下載履歷檔案。
- 支援標記與更新處理進度（未處理／已聯絡／已面試／已結案／不合適）與內部備註。
- 提供「一鍵刪除」功能，同時自資料庫與雲端空間徹底清除檔案與紀錄，供個資刪除請求使用。","#### 篩選與搜尋
- 投遞日期區間篩選器
- 處理進度篩選（全部／未處理／已聯絡／已面試／已結案／不合適）
- 關鍵字搜尋框（姓名／電話／Email）
#### 投遞清單 Table
- 投遞時間
- 求職者姓名
- 聯絡電話
- 電子信箱
- 處理進度（下拉選單切換）
- 內部備註（文字編輯）
- 操作按鈕（下載履歷／一鍵刪除紀錄與檔案）"
投遞管理,投遞紀錄資料庫與狀態管理,系統,建立投遞紀錄資料庫，記錄求職者姓名、聯絡方式、投遞時間、檔案識別碼、處理狀態與備註，支援狀態即時異動與操作記錄。,
文件處理,Word 文件轉製（3 份）,系統,"將客戶提供之 Word 文件進行專業轉製。
- 古卓個資告知同意書 Word 文件轉製為標準網頁。
- 拓美個資告知同意書 Word 文件轉製為標準網頁。
- 拓美性騷擾防治要點 Word 文件轉製為標準 PDF 文件。",
文件處理,法定證件與核備文件上架（11 份）,系統,"整理並上架全站 11 份正式法遵證件與核備文件。
- 古卓端 5 份：就服機構許可證、戴郁潔乙級證書、王亭喻乙級證書、A-5 收費明細表、性騷擾防治要點。
- 拓美端 3 份：私立就業服務機構許可證、Monica 盧箏英乙級證書、A-5 收費明細表。
- 轉製後文件 3 份。
- 文件檔名統一標準化整理，移除空格與特殊字元，確保線上預覽與下載順暢。",
搜尋引擎與可及性,關鍵法規資訊文字化,系統,就業服務許可證字號、收費項目金額明細表、公司登記全名與地址等關鍵資訊，一律採用標準 HTML 純文字格式呈現，不以圖檔取代，確保 Google 等搜尋引擎爬蟲完整索引與辨識。,
搜尋引擎與可及性,SEO 標籤與圖片替代文字,系統,為全站 10 個新增頁面與 6 個調整頁面個別設定專屬之網頁標題（Title）與描述（Meta Description），並為所有證件圖檔及示意圖設定完整之替代文字（Alt Attribute），提升可及性與搜尋友善度。,
搜尋引擎與可及性,PageSpeed 效能優化,系統,全站程式碼壓縮、WebP 圖片轉換壓縮、移除未使用的冗餘字型載入；確保新增頁面及拓美首頁於 Google PageSpeed Insights 行動版與桌機版實測效能分數達到 90 分以上。,
基礎架構與驗收,響應式版面與跨瀏覽器相容,系統,全站新增與調整之頁面全面導入 RWD 響應式網頁設計，支援手機、平板與桌機無橫向捲動瀏覽；支援 Google Chrome、Safari、Microsoft Edge 等主流瀏覽器最新版本；確保瀏覽器 Console 無錯誤訊息。,
基礎架構與驗收,部署上線與 SSL 安全憑證,系統,建立正式主機環境與自動化構建部署流程；配置自訂網域 DNS 解析；啟用全站 SSL／TLS 傳輸加密（HTTPS）。,
基礎架構與驗收,全站驗收與保固維護,系統,依據規格書第 5 節標準執行專案驗收（10 個新增頁面與 6 個調整頁面開啟正常、12 條主管機關外部連結有效性、11 份文件線上預覽與下載可用性、網址結構與排名維持、PageSpeed 90+ 實測）；交付原始程式碼與檔案，並提供上線後保固服務。,
